sample_id,status,reason,page_count,compile_seconds,source_path,package,source_family,document_form,construct_tags,size_bucket,nonblank_lines,source_chars,sha256_source,sha256_pdf,corpus_dir
moodle_test_circuitikz_5121defb,rejected,pdflatex_failed,0,0.9617723749834113,/usr/local/texlive/2026/texmf-dist/doc/latex/moodle/test/test_circuitikz.tex,moodle,texlive_ctan_doc,figure_diagram_plot,diagram_nodes_edges;fonts_symbols;inline_math;text_sectioning;tikz,short,32,1110,dbc9c6d229753ad49a62c5b65a191e898dfcf05ddd87948555bb96439eb24950,,
makeshape_testsample_d7e8c08a,rejected,page_count_4,4,1.9820954579627141,/usr/local/texlive/2026/texmf-dist/doc/latex/makeshape/testsample.tex,makeshape,texlive_ctan_doc,figure_diagram_plot,custom_macros;diagram_nodes_edges;display_math;simple_table;text_sectioning;tikz,large,548,17704,cc6e5b83d61eab71796b8256bcbc4eeccfcfedbe42d673e19d44922b21cb3be5,,
q_and_a_q_and_a_demo_chatgpt_8fa0b7c9,rejected,pdflatex_failed,0,8.439990667044185,/usr/local/texlive/2026/texmf-dist/doc/latex/q-and-a/demo/theme-ChatGPT/Q-and-A-demo-ChatGPT.tex,q-and-a,texlive_ctan_doc,figure_diagram_plot,diagram_nodes_edges;figures_images;tikz,short,41,1479,0b0de50a76ccbbeeb4cb243e55d95c0ee5669169386826532b347e53e227cc1a,,
q_and_a_q_and_a_demo_chatgpt_classical_ea8c5dcd,rejected,pdflatex_failed,0,8.259646375023294,/usr/local/texlive/2026/texmf-dist/doc/latex/q-and-a/demo/theme-ChatGPT-classical/Q-and-A-demo-ChatGPT-classical.tex,q-and-a,texlive_ctan_doc,figure_diagram_plot,diagram_nodes_edges;figures_images;tikz,short,40,1459,c77e3480518db7ee8d871fba7800e8130cf0b945de32bb7f7837a6f63089d2bb,,
opencolor_demo_opencolor_fbf71cfd,accepted,accepted,1,1.5299640830489807,/usr/local/texlive/2026/texmf-dist/doc/latex/opencolor/demo-opencolor.tex,opencolor,texlive_ctan_doc,figure_diagram_plot,custom_macros;diagram_nodes_edges;tikz,short,20,656,d1cb4b2d716e2b442c1dcef305fd6e4db0032fc736162c235bc47da891ec13bf,470c5b30ba4d0e10faffc9eb20c8dc6cb1e8340155a159506b125eb61d7da9f9,data/texlive_seed_smoke2/corpus/opencolor_demo_opencolor_fbf71cfd
abntexto_abntexto_f89a08ee,rejected,pdflatex_failed,0,0.5640096670249477,/usr/local/texlive/2026/texmf-dist/doc/latex/abntexto/abntexto.tex,abntexto,texlive_ctan_doc,algorithm,algorithm_pseudocode;captions;citations_bibliography;color;crossrefs;custom_macros;figures_images;fonts_symbols;footnotes;inline_math;minipage_boxes;text_sectioning,large,935,49340,776a4d0631de6baccdaf13bc83a4f1682888460ef729bfda0c9e7306a2a4849d,,
ieeetran_bare_adv_494d1c9b,accepted,accepted,1,0.7334045000025071,/usr/local/texlive/2026/texmf-dist/doc/latex/ieeetran/bare_adv.tex,ieeetran,texlive_ctan_doc,algorithm,algorithm_pseudocode;captions;citations_bibliography;crossrefs;custom_macros;figures_images;simple_table;text_sectioning,large,780,38435,7df2595a68d8124ac0d24dff093f74c1f538c4dc4c96ed9aaeff00a3bf9b1428,fa4b44a9214705834902a4c964d3738faba2cf5fafce7d6f6c48936e1f7ce623,data/texlive_seed_smoke2/corpus/ieeetran_bare_adv_494d1c9b
ieeetran_bare_jrnl_compsoc_c7205a39,accepted,accepted,1,0.7435313750174828,/usr/local/texlive/2026/texmf-dist/doc/latex/ieeetran/bare_jrnl_compsoc.tex,ieeetran,texlive_ctan_doc,algorithm,algorithm_pseudocode;captions;citations_bibliography;crossrefs;custom_macros;figures_images;simple_table;text_sectioning,large,637,30906,61414ad995e5dfc9294f967122796eb1973101cde74891c2d6ce0c2d43c84f43,016acf919c890fcfd2734a027cac4ffd7b4064363f1d737ad8c05592c4219dd6,data/texlive_seed_smoke2/corpus/ieeetran_bare_jrnl_compsoc_c7205a39
novabeamer_theme_novabeamer_example_2eb102a4,rejected,pdflatex_failed,0,0.9618362920009531,/usr/local/texlive/2026/texmf-dist/doc/latex/novabeamer-theme/examples/novabeamer-example.tex,novabeamer-theme,texlive_ctan_doc,presentation,beamer_frames;captions;citations_bibliography;display_math;figures_images;fonts_symbols;inline_math;lists;poster_blocks;simple_table;text_sectioning;theorems_proofs,medium,124,4398,58ff2f56676c48ce18f424e8ee563a76e23dbe259e5c0a064d70a35fcd8284ef,,
fancytooltips_fancy_preview_demo_37a2aa1e,rejected,pdflatex_failed,0,0.7718123749946244,/usr/local/texlive/2026/texmf-dist/doc/latex/fancytooltips/examples/fancy-preview-demo.tex,fancytooltips,texlive_ctan_doc,presentation,beamer_frames;captions;citations_bibliography;color;crossrefs;custom_macros;diagram_nodes_edges;display_math;figures_images;inline_math;lists;text_sectioning;theorems_proofs;tikz,large,238,9754,0342b462f9f734a70b9c80866b62e207eec7aa633bf9eb1cde8d8dd2801c357a,,
