sample_id,category,source_split,selected_ai_stage,ai_final_compiled,reference_pages,ai_pages,page_count_match,pandoc_compile,tylax_compile,typetex_compile,source_comparison_pdf,source_pdf_page,report_page
05_tables_simple_007,05_tables_simple,heldout,v2,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,60,72
05_tables_simple_011,05_tables_simple,heldout,v2,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,61,73
05_tables_simple_012,05_tables_simple,heldout,v2,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,62,74
05_tables_simple_014,05_tables_simple,heldout,v2,True,2,3,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,63,75
05_tables_simple_015,05_tables_simple,heldout,v1,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,64,76
05_tables_simple_017,05_tables_simple,heldout,v3,True,3,1,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,65,77
05_tables_simple_018,05_tables_simple,heldout,v3,True,3,1,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,66,78
05_tables_simple_020,05_tables_simple,heldout,v1,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,67,79
05_tables_simple_021,05_tables_simple,prompt_dev,v0,True,3,2,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,20,80
05_tables_simple_023,05_tables_simple,prompt_dev,v0,True,3,2,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,18,81
